onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
296.1667	003.0170	sentence	67	The children noticed the unpleasant smell of the dog.	n/a	n/a	n/a
306.0905	003.1348	sentence	104	The customer watched over the model for the shopkeeper.	n/a	n/a	n/a
314.8227	006.2379	sentence	79	Over the weekend the lobbyist wrote a comprehensive report to the politician about the disgraced reporter.	n/a	n/a	n/a
326.9378	003.0170	sentence	32	The secretary spoke to the patient about the cleaner.	n/a	n/a	n/a
329.9541	005.0000	question	n/a	What did the secretary and patient speak about?	004.1573	A	a
341.6777	004.1482	sentence	33	The secretary sometimes spoke rudely to patients about the psychologist.	n/a	n/a	n/a
350.1850	003.3121	sentence	19	The psychologist spoke to the secretary about the patient.	n/a	n/a	n/a
358.5256	003.2529	sentence	64	The children objected to the unpleasant smell of the dog.	n/a	n/a	n/a
367.8411	002.2581	sentence	59	The dog smelled smoke near the children.	n/a	n/a	n/a
376.4400	003.1348	sentence	66	The father objected to the unpleasant smell of the dog.	n/a	n/a	n/a
382.9975	003.0170	sentence	40	The company leased the apartment block to the family.	n/a	n/a	n/a
391.4131	003.6687	sentence	20	The psychologist often spoke to the secretary about the patient.	n/a	n/a	n/a
397.3707	002.8407	sentence	14	The director brought the painter to his equipment.	n/a	n/a	n/a
404.4782	005.7386	sentence	52	The family from across town blocked the purchase of the modern apartment by the unpopular company.	n/a	n/a	n/a
410.2191	005.0000	question	n/a	Where was the family from?	003.3696	C	c
418.9181	002.7822	sentence	4	The cameraman sold the equipment to the director.	n/a	n/a	n/a
423.8925	006.0501	sentence	81	The lobbyist composed an eloquent message to the politician on behalf of his client about the reporter.	n/a	n/a	n/a
434.8662	005.4290	sentence	98	The incompetent shopkeeper foolishly displayed the watch to customers in an obscure location.	n/a	n/a	n/a
442.7735	004.8151	sentence	60	The dog cautiously sniffed the mysterious object adjacent to the group of children.	n/a	n/a	n/a
449.6894	002.7236	sentence	3	A painter brought the equipment to the director.	n/a	n/a	n/a
457.5300	003.1938	sentence	82	The reporter wrote to the lobbyist about the politician.	n/a	n/a	n/a
464.0544	003.0759	sentence	76	The lobbyist warned the politician about the reporter.	n/a	n/a	n/a
471.8784	004.6323	sentence	24	The psychologist sometimes spoke to her secretary about the problematic patient.	n/a	n/a	n/a
479.3609	006.1752	sentence	90	Out of concern for the public the reporter wrote to the lobbyist about the politician's recent decisions.	n/a	n/a	n/a
489.0595	002.6652	sentence	12	The director brought his cameraman a hot lunch.	n/a	n/a	n/a
491.7257	005.0000	question	n/a	What did the director bring?	004.2875	D	d
